DISTRICT,LAYING HEN,LAYING DUCK,HEN EGG,DUCK EGG,TOTAL EGG
TAPLEJUNG,15366,341,2420,25,2445
SANKHUWASHAVA,77512,465,5506,34,5540
SOLUKHUMBU,42671,374,2345,28,2373
E.MOUNTAIN,135548,1180,10271,87,10358
PANCHTHAR,63779,261,5581,19,5600
ILLAM,26781,332,6656,27,6683
TERHATHUM,26030,514,3000,39,3039
DHANKUTA,120878,1400,1878,109,1987
BHOJPUR,53957,1136,4037,88,4125
KHOTANG,50271,354,4310,27,4337
OKHALDHUNGA,59344,445,3296,33,3329
UDAYAPUR,148326,1474,50120,116,50236
E.HILLS,549366,5916,78878,458,79336
JHAPA,199044,3200,28610,258,28868
MORANG,336661,25971,31600,2052,33652
SUNSARI,204547,7228,29569,549,30118
SAPTARI,158952,13498,18082,1060,19142
SIRAHA,196437,3200,17231,248,17479
E.TERAI,1095640,53097,125092,4167,129259
E.REGION,1780554.06,60193,214241,4712,218953
DOLAKHA,67464,1964,8040,155,8195
SINDHUPALCHOK,151540,1184,7500,90,7590
RASUWA,13267,275,942,20,962
C.MOUNTAIN,232271,3423,16482,265,16747
RAMECHAP,71247,317,6502,24,6526
SINDHULI,102420,2265,7683,175,7858
KAVRE,780840,1209,35896,92,35988
BHAKTAPUR,385908,2722,40781,214,40995
LALITPUR,267394,1701,32115,131,32246
KATHMANDU,514691,2186,41065,168,41233
NUWAKOT,292757,2824,26109,215,26324
DHADING,604699,3576,28205,272,28477
MAKWANPUR,202947,617,58059,47,58106
C.HILLS,3222902,17417,276415,1338,277753
DHANUSHA,103976,3885,8650,295,8945
MAHOTTARI,121995,3084,9850,234,10084
SARLAHI,211593,4386,5498,333,5831
RAUTAHAT,116105,3651,7822,277,8099
BARA,242429,8244,9955,627,10582
PARSA,116045,3476,10210,264,10474
CHITWAN,2751238,2006,411901,274,412175
C.TERAI,3663381,28732,463886,2304,466190
C.REGION,7118554.32,49572,756783,3907,760690
MANANG,2083,10,210,1,211
MUSTANG,1488,3,406,0,406
W.MOUNTAIN,3571,13,616,1,617
GORKHA,78538,425,4598,32,4630
LAMJUNG,47196,381,7433,29,7462
TANAHU,91121,318,14352,24,14376
KASKI,451830,5226,42827,324,43151
PARBAT,46229,8150,6252,525,6777
SYANGJA,116948,2888,5846,219,6065
PALPA,96610,1790,9004,136,9140
MYAGDI,32043,501,3081,38,3119
BAGLUNG,57523,1370,2199,104,2303
GULMI,33577,266,3837,20,3857
ARGHAKHANCHI,77924,118,7289,7,7296
W.HILLS,1129538,21433,106718,1458,108176
NAWALPARASI,398655,11550,41068,878,41946
RUPANDEHI,83033,10848,9758,824,10582
KAPILBASTU,131159,10412,4898,802,5700
W.TERAI,612847,32810,55724,2504,58228
W.REGION,1745955.36,54256,163058,3963,167021
DOLPA,1706,33,269,2,271
MUGU,5233,33,601,2,603
HUMLA,2835,40,446,2,448
JUMLA,2605,303,450,21,471
KALIKOT,8877,86,602,7,609
MW.MOUNTAIN,21256,495,2368,34,2402
RUKUM,75281,1445,2872,110,2982
ROLPA,40092,91,3315,7,3322
PYUTHAN,111477,19,4025,1,4026
SALYAN,24348,757,3855,58,3913
JAJARKOT,14589,91,2298,5,2303
DAILEKH,43020,313,6776,26,6802
SURKHET,111258,2028,10525,162,10687
MW.HILLS,420065,4744,33666,369,34035
DANG,411349,3223,54787,260,55047
BANKE,194508,858,13063,65,13128
BARDIYA,123536,1214,15457,92,15549
MW.TERAI,729393,5295,83307,417,83724
MW.REGION,1170714.06,10534,119341,820,120161
BAJURA,9844,198,852,15,867
BAJHANG,8917,188,985,14,999
DARCHULA,6723,101,778,6,784
FW.MOUNTAIN,25484,487,2615,35,2650
ACHHAM,12096,143,1905,9,1914
DOTI,22999,80,3622,7,3629
BAITADI,3509,107,594,6,600
DADELDHURA,10131,205,1596,17,1613
FW.HILLS,48735,535,7717,39,7756
KAILALI,277409.3,3418,16928,275,17203
KANCHANPUR,186108,1932,13483,155,13638
FW.TERAI,463517.8,5350,30411,430,30841
FW.REGION,537737,6372,40743,504,41247
NEPAL,12353515,180927,1294166,13906,1308072
