,LIVESTOCK POPULATION by DISTRICTS,,,,,,
DISTRICT ,CATTLE ,BUFFALOES ,SHEEP,GOAT,PIGS,FOWL ,DUCK
TAPLEJUNG ,54884,17966,5777,84720,27041,85364,876
SANKHUWASHAVA,122976,48712,12181,162965,31091,430621,1012
SOLUKHUMBU ,55294,45669,8461,86385,26148,237061,815
E.MOUNTAIN,233154,112347,26419,334070,84280,753046,2703
PANCHTHAR ,105053,42920,1338,162033,44587,354325,805
ILLAM ,146640,22731,160,150063,25400,148783,723
TERHATHUM ,91550,46915,7083,115000,29655,144610,1119
DHANKUTA,94711,20422,577,178274,28190,671543,3534
BHOJPUR ,99444,88865,18210,91987,47195,299760,3875
KHOTANG ,91445,61900,9156,123556,47235,279286,1905
OKHALDHUNGA,52593,44293,9105,117056,45846,329690,742
UDAYAPUR ,115562,99007,609,246617,49928,824036,3205
E.HILLS ,796998,427053,46238,1184586,318036,3052033,15908
JHAPA ,255075,73207,36,256414,68056,1105798,14474
MORANG ,399725,104582,490,277959,52560,1870338,56460
SUNSARI ,285225,139896,3658,232151,55540,1136374,15932
SAPTARI ,224252,179010,2033,199697,21966,883064,29345
SIRAHA ,87935,89943,941,221793,5130,1091314,8987
E.TERAI ,1252212,586638,7158,1188014,203252,6086888,125198
E. REGION,2282364,1126038,79815,2706670,605568,9891967,143809
DOLAKHA ,81777,52293,11809,155992,12436,374798,4271
SINDHUPALCHOK ,50797,64020,7956,180443,8233,841890,2574
RASUWA,14357,6652,5335,34062,1112,73705,598
C.MOUNTAIN ,146931,122965,25100,370497,21781,1290393,7443
RAMECHAP ,85972,68391,3763,163509,16699,395816,690
SINDHULI ,125775,61822,315,225080,22376,569000,4926
KAVRE ,139104,131190,3746,296254,15669,4337999,2630
BHAKTAPUR ,24058,8197,2588,30120,12934,2143933,5918
LALITPUR ,23471,32834,2164,80713,8658,1485522,3699
KATHMANDU ,46484,32397,3075,45932,18981,2859396,4753
NUWAKOT ,149937,153518,19741,264200,8395,1626429,6140
DHADING,138882,124591,8807,181620,23671,3359437,7775
MAKWANPUR,121228,106074,52,236688,14487,1127481,1343
C.HILLS,854911,719014,44251,1524116,141870,17905013,37874
DHANUSHA,139786,75103,650,200733,5796,577645,8447
MAHOTTARI,119233,70190,641,154703,12703,677748,6705
SARLAHI,135862,85152,1187,186277,8445,1175518,9535
RAUT AHAT,116431,80132,917,154145,9338,645028,7939
BARA,132748,150189,336,170762,21730,1346828,17923
PARSA,74675,49806,144,117929,11908,644694,7558
CHITWAN,91469,68809,3900,213968,10595,15284657,4362
C.TERAI,810204,579381,7775,1198517,80515,20352118,62469
C.REGION,1812046,1421360,77126,3093130,244166,39547524,107786
MANANG,3197,-,5693,9611,141,11570,17
MUSTANG,7843,187,6564,33925,45,8267,7
W.MOUNTAIN,11040,187,12257,43536,186,19837,24
GORKHA,88508,80560,29760,140508,12025,436320,925
LAMJUNG,27486,41903,15961,115731,6796,262200,830
T ANAHU,92919,116659,548,193385,9274,506228,1229
KASKI,45040,142393,16417,112391,13094,2510164,11362
PARBAT,43639,36443,5491,40660,12964,256828,17718
