,LIVESTOCK POPULATION by DISTRICTS,,,,,,
SYANGJA,39342,94008,2401,194650,15461,649713,6280
PALPA,74075,89729,2654,179892,18605,536720,4258
MYAGDI,40924,31865,9978,81214,6500,178017,1090
BAGLUNG,50662,79620,6851,99457,6644,319571,2980
GULMI,47453,44479,6942,144852,9795,186539,579
ARGHAKHANCHI,41820,104917,496,110085,2642,432910,364
W.HILLS,591868,862576,97499,1412825,113800,6275210,47615
NAWALPARASI,172441,107815,11128,244996,15155,2214749,24166
RUPANDEHI,104372,145463,4525,232133,15467,461296,23583
KAPILBASTU,135336,160445,18680,201968,5522,728660,6032
W.TERAI,412149,413723,34333,679097,36144,3404705,53781
W. REGION,1015057,1276486,144089,2135458,150130,9699752,101420
DOLPA,20388,2808,33343,63860,120,9478,73
MUGU,37500,9712,45027,47868,89,29072,73
HUMLA,14693,1879,28642,58337,144,15749,120
JUMLA,65509,2596,72530,41591,990,14474,659
KALIKOT,22935,19230,30732,54030,1378,49316,187
MW.MOUNTAIN,161025,36225,210274,265686,2721,118089,1112
RUKUM,34723,54781,28883,130991,23768,418230,3142
ROLPA,102795,53446,15687,138892,24511,222736,198
PYUTHAN,74190,69588,14667,136543,11762,619318,78
SALYAN,152514,74162,17764,162103,15185,135265,2077
JAJARKOT,41441,34476,24675,106356,2841,81049,198
DAILEKH,121661,99797,14774,171633,12352,239000,701
SURKHET,122274,35290,11608,233737,21521,618099,4750
MW.HILLS,649598,421540,128058,1080255,111940,2333697,11144
DANG,130177,120767,34091,237444,41445,2285270,8514
BANKE,128879,137126,11609,189743,37828,1080601,2180
BARDIYA,112817,109668,13025,199438,37222,686310,2672
MW.TERAI,371873,367561,58725,626625,116495,4052181,13366
MW. REGION,1182496,825326,397057,1972566,231156,6503967,25622
BAJURA,85002,20962,19672,77718,1604,54691,432
BAJHANG,139857,32966,26452,98558,2046,49539,409
DARCHULA,68474,32423,22861,75332,552,37348,220
FW.MOUNTAIN,293333,86351,68985,251608,4202,141578,1061
ACHHAM,40989,39322,3085,122431,394,67201,313
DOTI,123139,48102,662,144896,2471,127770,174
BAITADI,124533,54071,304,125803,750,19496,234
DADELDHURA,89943,23135,315,141919,1749,56284,205
FW.HILLS,378604,164630,4366,535049,5364,270751,926
KAILALI,196305,155695,21267,158293,28613,1541163,7431
KANCHANPUR,142603,112923,7953,133340,22109,1033936,4200
FW.TERAI,338908,268618,29220,291633,50722,2575099,11631
FW. REGION,1010845,519599,102571,1078290,60288,2987428,13618
NEPAL,7302808,5168809,800658,10986114,1291308,68630638,392255
