DISTRICT,MILKING  COWS NO.,MILKING  BUFFALOES NO.,COW MILK,BUFF MILK,TOTAL MILK PRODUCED
TAPLEJUNG,8123,4987,5389,4257,9645
SANKHUWASHAVA,15342,13367,6988,10589,17577
SOLUKHUMBU,7819,13501,2948,5493,8441
E.MOUNTAIN,31284,31855,15324,20339,35663
PANCHTHAR,14854,11331,8511,9835,18346
ILLAM,26821,5759,19735,15261,34996
TERHATHUM,18880,13276,10089,11500,21589
DHANKUTA,12523,5391,8176,4579,12755
BHOJPUR,14103,16342,7324,14184,21508
KHOTANG,12998,19501,7105,12275,19380
OKHALDHUNGA,7930,11693,4555,5516,10071
UDAYAPUR,15867,26138,9092,22687,31779
E.HILLS,123976,109431,74587,95837,170424
JHAPA,36068,19327,29667,32457,62124
MORANG,56521,27610,37387,35820,73207
SUNSARI,40311,38560,14964,27894,42858
SAPTARI,31790,41650,16654,25228,41882
SIRAHA,12434,23745,8125,25624,33749
E.TERAI,177124,150892,106797,147023,253820
E. REGION,332384,292178,196708,263199,459907
DOLAKHA,12344,13805,5544,10155,15699
SINDHUPALCHOK,7183,16901,6567,18456,25023
RASUWA,1853,1901,1062,1650,2712
C.MOUNTAIN,21380,32607,13173,30261,43434
RAMECHAP,12255,18055,4780,13521,18301
SINDHULI,15745,14960,8024,5955,13979
KAVRE,20587,34634,17919,65590,83509
BHAKTAPUR,3402,2164,3402,4494,7896
LALITPUR,3319,8668,2202,12595,14797
KATHMANDU,6573,8553,4166,10867,15033
NUWAKOT,21350,38480,12234,18937,31171
DHADING,24068,36469,13791,24416,38207
MAKWANPUR,18220,25820,12440,30774,43214
C.HILLS,125519,187803,78958,187149,266107
DHANUSHA,19150,17700,14056,22710,36766
MAHOTTARI,16860,20270,9661,18447,28108
SARLAHI,19221,25019,15374,17825,33199
RAUTAHAT,16493,22102,13162,15369,28531
BARA,18771,39650,11952,22738,34690
PARSA,11400,14424,6532,13755,20287
CHITWAN,14934,18166,14947,30230,45177
C.TERAI,116829,157331,85684,141074,226758
C. REGION,263728,377741,177815,358483,536299
MANANG,452,0,259,0,259
MUSTANG,1109,49,635,35,670
W.MOUNTAIN,1561,49,894,35,929
GORKHA,14927,17250,7653,10468,18121
LAMJUNG,4887,11062,4241,11622,15863
TANAHU,14942,30798,9678,32272,41950
KASKI,8879,37592,9782,31234,41016
PARBAT,5655,9281,3450,10161,13611
SYANGJA,5694,24818,6805,49275,56080
PALPA,11434,23688,6552,21850,28402
MYAGDI,5562,8412,3507,9301,12808
BAGLUNG,8950,22929,5128,18093,23221
GULMI,6860,11742,4346,11233,15579
ARGHAKHANCHI,6219,27698,3805,25232,29037
W.HILLS,94009,225270,64947,230740,295687
NAWALPARASI,25737,28668,18451,33596,52047
RUPANDEHI,17934,38402,12120,26493,38613
KAPILBASTU,15319,48934,8778,24751,33529
W.TERAI,58990,116004,39349,84840,124189
W. REGION,154560,341323,105190,315616,420806
DOLPA,2043,713,1100,514,1614
MUGU,5102,2092,2123,1420,3543
HUMLA,1677,496,961,421,1382
JUMLA,6206,585,2554,507,3061
KALIKOT,3386,4077,1140,3018,4158
MW.MOUNTAIN,18414,7963,7878,5880,13758
RUKUM,4910,11696,2912,12069,14981
ROLPA,14535,15159,5270,9110,14380
PYUTHAN,9641,18704,5524,12143,17667
SALYAN,13535,19579,5026,13490,18516
JAJARKOT,5869,9102,3002,8763,11765
DAILEKH,9438,24351,5408,13942,19350
SURKHET,19904,9317,11405,8419,19824
MW.HILLS,77832,107908,38547,77936,116483
DANG,18630,31882,9984,18043,28027
BANKE,14060,36201,8956,31062,40018
BARDIYA,15932,27931,10792,27784,38576
MW.TERAI,48622,96014,29732,76889,106621
MW. REGION,144868,211885,76157,160705,236862
BAJURA,12019,5534,4887,4801,9688
BAJHANG,15936,9679,4600,4149,8749
DARCHULA,9682,8560,4548,7430,11978
FW.MOUNTAIN,37637,23773,14035,16380,30415
ACHHAM,5796,10381,3321,9010,12331
DOTI,15432,10381,7843,9010,16853
BAITADI,9845,12699,4641,10184,14825
DADELDHURA,13963,6108,7045,5301,12346
FW.HILLS,45036,39569,22850,33505,56355
KAILALI,27758,41103,27905,36677,64582
KANCHANPUR,20164,27812,23146,25876,49022
FW.TERAI,47922,68915,51051,62553,113604
FW. REGION,130595,132257,87936,112438,200374
NEPAL,1026135,1355384,643806,1210441,
