DISTRICT,BUFF,MUTTON,CHEVON,PORK ,CHICKEN,DUCK MEAT,TOTAL MEAT
TAPLEJUNG,607,31,491,443,172,0,1744
SANKHUWASABHA,1646,41,958,509,302,1,3457
SOLUKHUMBU,1123,28,416,428,166,0,2161
E.MOUNTAIN,3376,100,1865,1380,640,1,7362
PANCHTHAR,1496,4,940,730,248,1,3419
ILLAM,1974,1,870,416,104,0,3365
TERHATHUM,2358,24,399,486,116,1,3384
DHANKUTA,1521,2,405,462,471,2,2863
BHOJPUR,1251,51,313,919,251,2,2787
KHOTANG,1997,31,442,705,310,1,3486
OKHALDHUNGA,1497,31,685,751,294,0,3258
UDAYAPUR,3346,2,1430,818,578,2,6176
E.HILLS,15440,146,5484,5287,2372,9,28738
JHAPA,5241,0,1447,1115,1425,9,9237
MORANG,5347,1,1678,861,1444,28,9359
SUNSARI,4728,12,1769,884,820,23,8236
SAPTARI,3867,7,2200,360,1301,15,7750
SIRAHA,3221,3,1286,308,809,4,5631
E.TERAI,22404,23,8380,3528,5799,79,40213
E.REGION,41220,269,15729,10195,8811,89,76313
DOLAKHA,1704,40,576,117,210,2,2649
SINDHUPALCHOK,2457,27,1047,209,784,1,4525
RASUWA,325,18,198,18,52,0,611
C.MOUNTAIN,4486,85,1821,344,1046,3,7785
RAMECHAP,2311,11,726,213,278,0,3539
SINDHULI,2089,2,1003,367,792,2,4255
KAVRE,4434,16,1418,257,1649,1,7775
BHAKTAPUR,1013,9,175,212,647,3,2059
LALITPUR,1109,7,468,142,1953,2,3681
KATHMANDU,2289,10,801,292,2294,2,5688
NUWAKOT,4160,66,700,285,1140,3,6354
DHADING,3105,16,314,415,2965,4,6819
MAKWANPUR,2795,10,1172,162,2405,1,6545
C.HILLS,23305,147,6777,2345,14123,18,46715
DHANUSHA,2538,2,1566,95,514,6,4721
MAHOTTARI,2578,2,781,208,561,4,4134
SARLAHI,2779,3,1080,138,825,5,4830
RAUTAHAT,2672,3,984,153,452,4,4268
BARA,4076,1,1205,356,945,10,6593
PARSA,2260,0,910,195,452,4,3821
CHITWAN,5550,13,1769,598,9810,13,17753
C.TERAI,22453,24,8295,1743,13559,46,46120
C.REGION,50244,256,16893,4432,28728,67,100620
MANANG,0,12,56,2,8,0,78
MUSTANG,6,22,139,1,5,0,173
W.MOUNTAIN,6,34,195,3,13,0,251
GORKHA,3147,100,815,197,691,1,4951
LAMJUNG,1416,54,621,111,504,1,2707
TANAHU,3347,2,752,152,225,1,4479
KASKI,4583,117,839,659,1738,19,7955
PARBAT,1231,18,374,212,280,9,2124
SYANGJA,3177,40,1129,253,456,3,5058
PALPA,2514,7,1043,305,376,2,4247
MYAGDI,1256,40,385,1106,405,1,3193
BAGLUNG,2124,19,578,109,297,1,3128
GULMI,1446,23,821,160,273,0,2723
ARGHAKHANCHI,3246,2,638,42,303,0,4231
W.HILLS,27487,422,7995,3306,5548,38,44796
NAWALPARASI,3644,27,1455,348,1665,12,7151
RUPANDEHI,4916,15,1724,355,1677,12,8699
KAPILBASTU,4423,63,1171,115,511,3,6286
W.TERAI,12983,105,4350,818,3853,27,22136
W.REGION,40476,561,12540,4127,9414,65,67183
DOLPA,74,112,270,2,7,0,465
MUGU,328,151,142,1,20,0,642
HUMLA,64,96,125,2,10,0,297
JUMLA,106,240,202,16,29,0,593
KALIKOT,649,103,277,3,24,0,1056
MW.MOUNTAIN,1221,702,1016,24,90,0,3053
RUKUM,1654,47,760,389,293,1,3144
ROLPA,1492,50,806,401,219,0,2968
PYUTHAN,1594,55,522,245,465,0,2881
SALYAN,3206,60,833,245,265,1,4610
JAJARKOT,975,83,617,47,203,0,1925
DAILEKH,2145,50,578,142,167,0,3082
SURKHET,2456,24,1634,368,789,2,5273
MW.HILLS,13522,369,5750,1837,2401,4,23883
DANG,3507,115,3352,679,1604,4,9261
BANKE,3256,42,1652,620,785,1,6356
BARDIYA,3405,35,1758,610,474,1,6283
MW.TERAI,10168,192,6762,1909,2863,6,21900
MW.REGION,24911,1263,13528,3770,5354,10,48836
BAJURA,708,66,451,26,38,0,1289
BAJHANG,1208,89,572,34,40,0,1943
DARCHULA,768,68,437,9,31,0,1313
FW.MOUNTAIN,2684,223,1460,69,109,0,4545
ACHHAM,1329,10,710,6,47,0,2102
DOTI,1625,2,840,40,106,0,2613
BAITADI,1727,1,730,12,14,0,2484
DADELDHURA,1011,1,823,29,70,0,1934
FW.HILLS,5692,14,3103,87,237,0,9133
KAILALI,5962,71,1480,469,1303,4,9289
KANCHANPUR,3816,27,850,360,1085,2,6140
FW.TERAI,9778,98,2330,829,2388,6,15429
FW.REGION,18154,335,6893,985,2734,6,29107
NEPAL,175005,2684,65583,23509,55041,237,322059
