Places Visited,2016,2017,%Change 
National Parks and Wildlife Reserve,389223,604091,55
Pashupati Area (excluding Indian),95411,124180,30
Lumbini (excluding Indian Tourists),136253,145796,7
Manaslu Trekking,4780,5745,20
Mustang Trekking,3984,6632,66
HumlaTrekking,10105,13398,33
Lower Dolpa Trekking,1023,924,-10
Kanchanjunga Trekking,502,1008,101
Upper Dolpa Trekking,531,425,-20
