Indicators,2016,2017
Rank 1,Nepal Airlines,Jet Airways
Rank 2,Qatar Air,Nepal Airlines
Rank 3,Air Arabia,Qatar Air
Rank 4,Jet Airways,Air Arabia
Rank 5,Fly Dubai,Fly Dubai
